Ngày đăng,Loại hình,Giá (VND),Giá gốc (VND),Diện tích,Diện tích gốc (m2),Giấy tờ pháp lý,Phòng ngủ,Phòng tắm,Tình trạng nội thất
17/10/2025,alley_house,0.03993787833330392,6800000000.0,0.11807498601007274,68.1,certificate,4.0,4.0,furnished
17/10/2025,alley_house,0.05582125902264265,9500000000.0,0.0727476217123671,43.8,certificate,5.0,4.0,unfurnished
17/10/2025,alley_house,0.02993723123260917,5100000000.0,0.02499533669091587,18.2,certificate,2.0,3.0,furnished
17/10/2025,alley_house,0.049938525433998675,8500000000.0,0.07162842753217684,43.2,certificate,5.0,4.0,unfurnished
17/10/2025,alley_house,0.029054821194312574,4950000000.0,0.10539078530124976,61.3,certificate,2.0,1.0,unfurnished
17/10/2025,alley_house,0.027290001117719384,4650000000.0,0.14251072561089348,81.2,certificate,4.0,3.0,unfurnished
17/10/2025,alley_house,0.030525504591473566,5200000000.0,0.02872598395821675,20.2,certificate,2.0,2.0,unfurnished
17/10/2025,alley_house,0.02993723123260917,5100000000.0,0.08449916060436485,50.1,certificate,3.0,3.0,unfurnished
17/10/2025,alley_house,0.028466547835448178,4850000000.0,0.07647826897966796,45.8,certificate,2.0,3.0,partially_furnished
17/10/2025,alley_house,0.037937748913164974,6460000000.0,0.08039544861033389,47.9,certificate,4.0,4.0,furnished
17/10/2025,alley_house,0.039643741653871724,6750000000.0,0.07703786606976311,46.1,certificate,4.0,5.0,unfurnished
17/10/2025,alley_house,0.030525504591473566,5200000000.0,0.12124603618727847,69.8,certificate,2.0,2.0,unfurnished
17/10/2025,alley_house,0.0234662242851008,4000000000.0,0.09550457004290244,56.0,certificate,2.0,2.0,partially_furnished
17/10/2025,alley_house,0.02158374953673473,3680000000.0,0.0378660697631039,25.1,certificate,2.0,1.0,unfurnished
17/10/2025,alley_house,0.026995864438287182,4600000000.0,0.050941988434993465,32.11,certificate,3.0,2.0,unfurnished
16/10/2025,alley_house,0.011641929771926419,1990000000.0,0.021395262077970528,16.27,certificate,1.0,2.0,unfurnished
16/10/2025,alley_house,0.031113777950337963,5300000000.0,0.03917179630665921,25.8,certificate,3.0,4.0,unfurnished
16/10/2025,alley_house,0.03287859802693116,5600000000.0,0.04308897593732512,27.9,certificate,5.0,3.0,unfurnished
16/10/2025,alley_house,0.05582125902264265,9500000000.0,0.12068643909718335,69.5,certificate,2.0,2.0,partially_furnished
16/10/2025,alley_house,0.042585108448193715,7250000000.0,0.056519306099608285,35.1,certificate,3.0,2.0,unfurnished
16/10/2025,alley_house,0.04287924512762591,7300000000.0,0.09531803767953739,55.9,certificate,5.0,5.0,unfurnished
16/10/2025,alley_house,0.0458206119219479,7800000000.0,0.13952620779705277,79.6,other,4.0,5.0,partially_furnished
16/10/2025,alley_house,0.018760037414185624,3200000000.0,0.03674687558291363,24.5,certificate,1.0,1.0,furnished
16/10/2025,alley_house,0.044644065204219104,7600000000.0,0.1919418019026301,107.7,certificate,3.0,2.0,partially_furnished
16/10/2025,alley_house,0.03729064821841414,6350000000.0,0.09270658459242678,54.5,certificate,5.0,3.0,partially_furnished
16/10/2025,alley_house,0.05405643894604945,9200000000.0,0.13896661070695765,79.3,certificate,12.0,13.0,unfurnished
16/10/2025,alley_house,0.05287989222832066,9000000000.0,0.03581421376608841,24.0,certificate,2.0,3.0,partially_furnished
16/10/2025,alley_house,0.02993723123260917,5100000000.0,0.08207423988061928,48.8,certificate,4.0,3.0,furnished
16/10/2025,alley_house,0.044644065204219104,7600000000.0,0.1527700055959709,86.7,certificate,3.0,2.0,unfurnished
16/10/2025,alley_house,0.03911429563089377,6660000000.0,0.0800223838836038,47.7,certificate,3.0,4.0,furnished
16/10/2025,alley_house,0.03499638211884299,5960000000.0,0.07088229807871665,42.8,certificate,4.0,3.0,unfurnished
